,Image,Accuracy,F1,Jaccard,Recall,Precision
0,p_00355abf,0.9891683813443073,0.9889547038530605,0.9781507392615686,0.9818955979093658,0.9961160443296948
1,p_008e4310,0.9869244398719708,0.9782272071874866,0.957382320285546,0.959518372818572,0.9976801251761745
2,p_01653554,0.9686058063271605,0.9799134258440733,0.9606179030979849,0.975538296324693,0.9843279756358972
3,p_0167e97d,0.94329941663275,0.9504485171546252,0.9055758890244453,0.9063386452156316,0.9990715319224773
4,p_01b4c4ae,0.9937711476909008,0.9847146014968414,0.9698894546780757,0.973655670909459,0.9960276363017294
5,p_03957f0c,0.9903819444444445,0.9902556031259202,0.9806992801262456,0.9959430507053143,0.9846327443545222
6,p_047ff224,0.9906520061728395,0.9843967840503322,0.9692730079924419,0.972790403538218,0.9962834606667612
7,p_04c3542e,0.9926649305555556,0.9820966381334153,0.9648230617221769,0.9718305848977975,0.9925819004716283
8,p_04e20660,0.9895278920896204,0.9728653813686085,0.9471644356266617,0.9828860074632448,0.9630470158772045
9,p_0644cc81,0.9903269318701418,0.9711730739750294,0.9439615638048124,0.9448688671834865,0.9989837861325354
10,p_064c4fc4,0.9918787579276831,0.985343048477446,0.9711095429828567,0.9752434338455804,0.9956540351632616
11,p_06f9fcb1,0.9479023321297999,0.9341872281527113,0.8765021895295539,0.9795314645455188,0.8928553803298824
12,p_07141906,0.9880264060356653,0.9763210275921235,0.9537375035609469,0.9951266719662669,0.9582129687562401
13,p_0791cd0d,0.9772258824605953,0.9222806219736168,0.8557706586501023,0.8901757188498403,0.9567879487335237
14,p_0846ec6f,0.9407224395488756,0.9241027623759186,0.858913593287615,0.958360292219134,0.8922098452262784
15,p_0865636e,0.9943296365181052,0.9774020863836017,0.9558029342413166,0.9846372963854089,0.9702724308022129
16,p_086ad409,0.9903409529320988,0.9851114614763061,0.9706597563012161,0.9759451740852406,0.9944515648778204
17,p_08c6f749,0.9441208526234568,0.9446390340414207,0.89508619752997,0.9928023090457712,0.9009325846894984
18,p_0913b718,0.9955687014174669,0.989916174051024,0.9800336849478759,0.994753736688293,0.9851254345749514
19,p_092377d3,0.9706324680675731,0.8949714496223983,0.8099079877316976,0.813133848779998,0.995125547863843
20,p_094cb88b,0.9885577516985794,0.9773835860021727,0.9557675513745951,0.9638114772372587,0.9913433910517034
21,p_0a2741f1,0.9802247859726229,0.9878277912140014,0.9759483442040006,0.9763513231226865,0.9995772673937002
22,p_0adf30f8,0.8896752829218108,0.8996021582578055,0.8175244662725971,0.8178515115469976,0.9995110997265539
23,p_0af8e77e,0.9920659191301393,0.952823815386558,0.9098982858727699,0.9938621620731667,0.9150401697741397
24,p_0be67476,0.9766526813271605,0.9624659163416267,0.9276475168391053,0.9520576835472744,0.9731042375405647
25,p_0bf671ac,0.9736395104595336,0.9787143640291573,0.958315998539217,0.9590172691859588,0.9992375361905258
26,p_0c8d77ec,0.998176268861454,0.99591856783021,0.991870316412544,0.998830027648294,0.9930240317362172
27,p_0cad17be,0.99034797239369,0.9734126638553631,0.9482024856365634,0.9616781136532657,0.9854371253190205
28,p_0ceedec5,0.9958694306930693,0.9872149795251683,0.9747527457133252,0.9796417597347515,0.994906202636621
29,p_0d9e1681,0.8864379841968445,0.804431969664566,0.6728449985726626,0.8066065932600749,0.8022690401778807
30,p_0de2c8bd,0.9931253561253561,0.9894388173576297,0.9790983805359408,0.9858342462025802,0.9930698445107862
31,p_0eabf5cb,0.9580538949586569,0.9699472282632999,0.9416480930660859,0.9535553243149497,0.9869125530456533
32,p_0ebda07a,0.9867519718792866,0.9826097965844189,0.9658140930447359,0.9815396938037055,0.9836822352253604
