epoch,loss,lr,val_loss,val_y0_loss,val_y1_loss,val_y2_loss,val_y3_loss,val_y4_loss,val_y5_loss,val_y6_loss,y0_loss,y1_loss,y2_loss,y3_loss,y4_loss,y5_loss,y6_loss
0,0.22874198853969574,1e-04,0.4374091327190399,0.05774758756160736,0.05812697112560272,0.05785196274518967,0.05738511309027672,0.061293166130781174,0.06657188385725021,0.07843241840600967,0.025870952755212784,0.025915764272212982,0.02626292034983635,0.027574636042118073,0.031859852373600006,0.03802606090903282,0.053231753408908844
1,0.2324284315109253,1e-04,0.6548170447349548,0.08629383891820908,0.08540265262126923,0.08485159277915955,0.08770468086004257,0.09149615466594696,0.102401502430439,0.11666668206453323,0.02675839513540268,0.026927517727017403,0.027194680646061897,0.028454970568418503,0.03238655999302864,0.03812592104077339,0.052580300718545914
2,0.22318993508815765,1e-04,0.4175969958305359,0.05641603842377663,0.056621771305799484,0.05658390745520592,0.05638173222541809,0.057767778635025024,0.06173137575387955,0.07209432870149612,0.025192078202962875,0.02530037797987461,0.025657566264271736,0.026960931718349457,0.03107033483684063,0.03699404001235962,0.052014853805303574
3,0.2251066416501999,1e-04,0.510033130645752,0.06324295699596405,0.06286376714706421,0.0644759014248848,0.06556056439876556,0.07218681275844574,0.08163809776306152,0.10006501525640488,0.02572016604244709,0.025906477123498917,0.02623646892607212,0.02752086892724037,0.03136739879846573,0.03692210465669632,0.05143315717577934
4,0.20494848489761353,1e-04,0.4037846326828003,0.05265093594789505,0.0525960735976696,0.05296189710497856,0.054666079580783844,0.05709371715784073,0.060331791639328,0.07348422706127167,0.022730669006705284,0.022799048572778702,0.023185886442661285,0.024593722075223923,0.02854204922914505,0.03430813178420067,0.04878908395767212
5,0.16536074876785278,1e-04,0.4274243712425232,0.0585898794233799,0.05830646678805351,0.058454014360904694,0.058498721569776535,0.059345047920942307,0.06202127784490585,0.07220889627933502,0.017925329506397247,0.01787865161895752,0.01833409070968628,0.019602596759796143,0.022932250052690506,0.027866804972290993,0.04082091897726059
6,0.21228159964084625,1e-04,0.5304451584815979,0.06970459967851639,0.06954596936702728,0.06974153965711594,0.07137882709503174,0.07638819515705109,0.08097381144762039,0.09271218627691269,0.024025648832321167,0.024105366319417953,0.02444155141711235,0.025787632912397385,0.029406340792775154,0.03533593937754631,0.04917922243475914
7,0.17280833423137665,1e-04,0.39418306946754456,0.05407620221376419,0.05433547869324684,0.05351324751973152,0.05264921858906746,0.054126232862472534,0.057497717440128326,0.06798496842384338,0.01876792497932911,0.018769297748804092,0.01923135668039322,0.020548677071928978,0.024032684043049812,0.02911020629107952,0.04234812408685684
8,0.14133484661579132,1e-04,0.3807593584060669,0.05285077169537544,0.05282673239707947,0.05190695822238922,0.05022173002362251,0.05025359243154526,0.0555073581635952,0.0671921893954277,0.01510859839618206,0.01505194790661335,0.015535753220319748,0.016692165285348892,0.01960071176290512,0.023882977664470673,0.03546268492937088
9,0.21152928471565247,1e-04,0.4320219159126282,0.058592792600393295,0.05807425081729889,0.059193503111600876,0.058821678161621094,0.06119130924344063,0.06401148438453674,0.07213693112134933,0.02412479743361473,0.02424234338104725,0.024620331823825836,0.026039808988571167,0.029540112242102623,0.034737665206193924,0.04822426661849022
10,0.18692810833454132,1e-04,0.4310515522956848,0.05817490071058273,0.05800868943333626,0.05754256993532181,0.05715340003371239,0.059269752353429794,0.06461121886968613,0.076291024684906,0.02055593952536583,0.020605608820915222,0.021036013960838318,0.022467751055955887,0.026014739647507668,0.031197572126984596,0.045050591230392456
11,0.15233704447746277,1e-04,0.3569386899471283,0.049065932631492615,0.04932161048054695,0.048504408448934555,0.04642874002456665,0.04860133305191994,0.05265441909432411,0.06236235424876213,0.016326794400811195,0.016316620633006096,0.016792595386505127,0.018096482381224632,0.02114509604871273,0.025696376338601112,0.037962961941957474
