,Image,Accuracy,F1,Jaccard,Recall,Precision
0,p_00355abf,0.9825514403292182,0.9820234246647941,0.9646817505023896,0.9650446042099707,0.9996103892990125
1,p_008e4310,0.9840043438500229,0.9731863465558837,0.9477730874454608,0.9482207837550714,0.9995020871013007
2,p_01653554,0.9607614776234568,0.9743931412076718,0.9500649618851406,0.9510507898125485,0.9989101404686331
3,p_0167e97d,0.9305426672093339,0.938563796595851,0.8842394800420109,0.8842774690642683,0.9999514176458781
4,p_01b4c4ae,0.9916518061271148,0.9793464274098899,0.959528731109621,0.9605001483914094,0.9989470860245141
5,p_03957f0c,0.9880838477366255,0.9877250062262541,0.9757477091714281,0.9770250348889777,0.9986619358934692
6,p_047ff224,0.9893745177469135,0.9821644388067748,0.9649539436953524,0.9651412343989881,0.9997989373343705
7,p_04c3542e,0.9871784979423869,0.9681727249510512,0.9383089092165375,0.9420175440867006,0.9958217841829768
8,p_04e20660,0.9913843164151807,0.9773766250138827,0.9557542384821303,0.9743933495126746,0.9803782242548874
9,p_0644cc81,0.9888608824874257,0.9666469858383606,0.9354470085158675,0.9360360867965677,0.999327690652777
10,p_064c4fc4,0.9954232215907531,0.9917583572087182,0.9836514532994987,0.9837817027986003,0.9998654208961473
11,p_06f9fcb1,0.9667313849717283,0.9562881719531807,0.9162377451856214,0.9640529805706827,0.9486474447294075
12,p_07141906,0.9899939986282579,0.9799924913985371,0.9607698797651101,0.987903086441088,0.9722075775252466
13,p_0791cd0d,0.9801289090201999,0.9327091979912498,0.8739035286688466,0.9072201458797998,0.9596719233850237
14,p_0846ec6f,0.9697475579347105,0.9604348375679433,0.9238813229571985,0.9751234033504959,0.9461822211807843
15,p_0865636e,0.9979041813046773,0.9915524242529414,0.983246376013546,0.9876379324649465,0.9954980696056978
16,p_086ad409,0.9869560185185186,0.9796920471029182,0.960192502980264,0.9609293186969861,0.9992020743005132
17,p_08c6f749,0.9562905092592593,0.9559435562663141,0.9156052452947196,0.9875278186185896,0.9263170091584443
18,p_0913b718,0.9952029035208048,0.9889996395687932,0.9782386617023262,0.9862321530330042,0.9917827016142812
19,p_092377d3,0.9718376596621343,0.8996926287983172,0.8176739085331516,0.820772574964763,0.9954040925676194
20,p_094cb88b,0.9889952645666049,0.9780844322248368,0.9571088483897429,0.9572880902483614,0.9998044082651478
21,p_0a2741f1,0.9755064551572586,0.9848743629622798,0.9701994778067885,0.9702683845954595,0.9999268056927949
22,p_0adf30f8,0.9323996913580247,0.9407595570096008,0.888145428391774,0.888146373329872,0.9999988020623695
23,p_0af8e77e,0.9889711816173972,0.9271462791048388,0.8641870378482279,0.87049293687642,0.9916871736390372
24,p_0be67476,0.9701056134259259,0.9504466587527128,0.9055725148978174,0.9118242989335416,0.9924856089645132
25,p_0bf671ac,0.9679414223251028,0.9739746388773978,0.9492695558828542,0.9492896790200505,0.9999776695395548
26,p_0c8d77ec,0.9983786008230453,0.9963486625663774,0.9927238926558715,0.9930448222565688,0.9996745598809819
27,p_0cad17be,0.9923209233539094,0.9787006995730034,0.9582897972845148,0.96024614666725,0.9978784921534517
28,p_0ceedec5,0.9931191556655665,0.9784858587831047,0.9578779375657664,0.9612123430630986,0.9963915645067134
29,p_0d9e1681,0.8937237793735362,0.7898228906065087,0.652650661193176,0.6896323374184731,0.9240732855522173
30,p_0de2c8bd,0.9949339031339032,0.9922012534482986,0.9845232064866408,0.9865651230454714,0.997902150956912
31,p_0eabf5cb,0.8656703085274514,0.9018016509552435,0.8211646391015388,0.86889948293525,0.9372936661938863
32,p_0ebda07a,0.9858131858710563,0.9812584236575946,0.9632064170587925,0.973962775861221,0.988664195146444
33,p_0f013d02,0.9616312299954275,0.9421445722076763,0.8906175148846864,0.9312597327808578,0.9532868713505368
34,p_0ff9eb03,0.9862437128486511,0.9294272192541593,0.8681588360640472,0.9050390031636534,0.9551662206793472
35,p_10e752d1,0.9681984376559848,0.9766103796516865,0.9542899011612943,0.9544003157177197,0.9998787832089373
36,p_117df2f2,0.987856081390032,0.9800762367371052,0.9609308774233172,0.9612066032096381,0.9997015724834526
37,p_11f990a6,0.9970267489711934,0.9838501246865374,0.968213595836971,0.968792989599956,0.9993826897696795
38,p_127746a6,0.9923278356481482,0.9886427642864944,0.9775406052135612,0.9775833881583591,0.999955232523716
39,p_12aa0ad4,0.9075022862368541,0.9046501844731468,0.8259007046420311,0.9580904981667245,0.856856494874817
40,p_12d8e49a,0.9865269204389575,0.979486945199534,0.9597985450475658,0.9812545155563983,0.9777257313732325
