,Image,Accuracy,F1,Jaccard,Recall,Precision
22,p_0adf30f8,0.9338805298353909,0.9428865801875659,0.8919445752139482,0.9030799086709409,0.986364328320572
23,p_0af8e77e,0.9524034785932721,0.7712131072235194,0.6276215279941183,0.9950805097303171,0.629575
24,p_0be67476,0.9721431327160494,0.9547438141365646,0.9134065189462591,0.9345615065700775,0.9758170552219946
25,p_0bf671ac,0.9826560356652949,0.9860878415609401,0.9725574679753757,0.9726869415242265,0.9998631536374983
26,p_0c8d77ec,0.8957009602194788,0.8101513615548642,0.6808860685116634,0.9989839713787816,0.6813579111385505
27,p_0cad17be,0.9332020533264747,0.8427242574376094,0.7281965969248481,0.9740379427504848,0.7426102076301524
28,p_0ceedec5,0.9681128529519618,0.8924594877661363,0.8058030184070488,0.8127914793865778,0.9894424282415044
29,p_0d9e1681,0.9408391887370344,0.8960183121226207,0.8116242524324756,0.8803013299852224,0.912306721508551
30,p_0de2c8bd,0.9584643874643874,0.9392741555904514,0.8855013390508054,0.9833694992359807,0.8989636603408327
31,p_0eabf5cb,0.9003212396069539,0.9316505676252013,0.8720466725519439,0.9569989271511427,0.9076103795359213
32,p_0ebda07a,0.8062419624485597,0.7869007229247957,0.6486696825193252,0.9381621196259319,0.6776432113777402
33,p_0f013d02,0.879726223136717,0.8409184547474385,0.7255041357458626,0.947598878238439,0.7558275905649634
34,p_0ff9eb03,0.9523948331047096,0.7979820029590822,0.6638685984099439,0.9393880557808056,0.693577765035248
35,p_10e752d1,0.9725398073275432,0.9801850166831976,0.9611400427705875,0.9763418003085423,0.9840586090652762
36,p_117df2f2,0.9917489711934157,0.9867015984612323,0.9737522500409098,0.9850627672782453,0.9883458917192163
37,p_11f990a6,0.9979681069958848,0.9891475317503383,0.9785280867574013,0.9905422880096847,0.9877566978064941
38,p_127746a6,0.9629287229938271,0.9475440465280371,0.9003170568822092,0.9801924005455208,0.9170004952947004
39,p_12aa0ad4,0.9126794695930498,0.8971672116493927,0.8135115505508255,0.8317117976083804,0.9738053350789624
40,p_12d8e49a,0.9706173911179699,0.9543801617139448,0.9127410620654757,0.9375717176604432,0.9718022787919861
41,p_138b411f,0.7574455565901097,0.7252517869162356,0.568937284612282,0.5780231018709854,0.9731144860226382
42,p_13fd3065,0.9688304287079932,0.9270341568797903,0.8639922350034493,0.8657121499934359,0.9977058271373169
43,p_1610c501,0.982732053040695,0.9460268686579963,0.8975815801427864,0.9075683828066087,0.9878889635101858
44,p_162185f3,0.9631531850137174,0.9546746149500935,0.9132798539131576,0.9792795509465039,0.9312757995447707
45,p_163ba3d7,0.910772650805095,0.8654192564876841,0.7627656836556296,0.943893026657676,0.7989923028297327
46,p_1657179c,0.9387971536351166,0.958730613875398,0.9207325468806907,0.9356369282292115,0.9829931609888293
47,p_1717a48a,0.9683958991291033,0.9511603766521514,0.9068692252644789,0.9122170293041332,0.9935770550623659
48,p_1825ac2b,0.8548527520576131,0.8461698344778615,0.7333573516817766,0.9639745110582507,0.754022781898362
49,p_186ef845,0.7598813657407407,0.6837780384706462,0.5195005542045097,0.7984857827587741,0.5978875518830205
50,p_18793bbb,0.9502873364658191,0.9426135740470547,0.8914560948685776,0.9341286361720067,0.9512540667449271
51,p_18816dc9,0.9898934220679012,0.9888628903129945,0.9779711186933826,0.9809324491022383,0.9969226054559462
52,p_18bdd287,0.9402670111972438,0.9536217345872517,0.9113546851157998,0.9711077627669807,0.9367542844004303
53,p_1980809f,0.9728433641975308,0.976731091325811,0.9545204423256881,0.9547445711472945,0.9997541226747393
54,p_1ba36197,0.9642775491540924,0.9571337058014214,0.9177913900620971,0.9314011041817949,0.9843285792881629
55,p_1bafadcc,0.9681376448033937,0.9684512375206674,0.9388322421065098,0.9877451232799405,0.9498966558486254
56,p_1c052701,0.9834867663981588,0.9826585908678427,0.96590837849223,0.9987342405557059,0.9670922513776259
57,p_1d77b4e9,0.9835969421378674,0.9690695066219714,0.9399949975741247,0.9768966251597224,0.9613668164530823
58,p_1d9b055c,0.9922685185185185,0.9921019950242628,0.9843277694037554,0.9873890542429888,0.9968601425842575
59,p_1dfee663,0.9940592135345222,0.9874185364153119,0.9751497256523974,0.9931311055486837,0.9817713097312755
60,p_1e21958a,0.9843364674124402,0.9884105119550978,0.9770865787320482,0.9825952122741319,0.9942950548912604
61,p_1e64623b,0.8364031778692272,0.8523250768610856,0.7426537425161814,0.7497431279930581,0.9874276915941141
62,p_201f5b98,0.8531735456243451,0.8644219216258495,0.7612175138705343,0.9859266091800297,0.7695796358679268
63,p_20a01024,0.9431983024691358,0.9427556637308353,0.8917102994920357,0.8978169488010945,0.9924300795363501
64,p_21254839,0.9908772290809328,0.9788814353193347,0.9586364102835214,0.9655697344434212,0.9925653071278387
65,p_22105fbb,0.978475135975136,0.9856812980773579,0.9717668580979509,0.9858337389985741,0.9855289042931807
66,p_22380a88,0.8068396443707389,0.5959193211878249,0.42441957230831,0.9990831246465789,0.4245849468567191
67,p_22bb8ec2,0.9597581687993361,0.9637358327470622,0.9300098017495452,0.9325696994074993,0.9970571114707875
68,p_244157c7,0.8571008547008547,0.8813956259943287,0.7879422309409457,0.825082964112045,0.9459581275987526
69,p_245f9531,0.9444874974168217,0.9521712960512942,0.9087089258607538,0.9345566919027656,0.9704626589252715
70,p_256d45f3,0.8289699002051211,0.8235255648426859,0.6999944412158577,0.8429251764430971,0.8049988144552771
71,p_26089b9d,0.9888202594193947,0.9756508914803033,0.9524593552780378,0.9994615258977971,0.952948361696847
72,p_26eaeae5,0.984636488340192,0.9779138442728824,0.9567822035288103,0.9703934172806168,0.9855517464102946
73,p_27b0305c,0.9682763203017832,0.9505548837116075,0.9057690287544208,0.9174021753323693,0.986193546821847
74,p_29f71492,0.9912162780064014,0.9881817524658518,0.9766395841092017,0.9785017963397009,0.9980551426099302
75,p_2ba83b99,0.9837032233270885,0.9596905948681999,0.922504968362382,0.9932548344452301,0.928320623408865
76,p_2ceeca48,0.9735178755144033,0.9735921080895074,0.9485430848327978,0.9778242403881965,0.969396452197452
77,p_2d8d5fd8,0.8961179698216736,0.7706645670245144,0.6268952690635431,0.8769070406519474,0.6873839380372614
78,p_2dac7786,0.927870427561595,0.9503293261770595,0.9053595092982106,0.908176130927693,0.9965860891185204
79,p_2dffb5f7,0.9960853909465021,0.9892725743472152,0.9787728612472223,0.9975929190121491,0.9810898720374288
80,p_2fd0b3e6,0.9845410379515318,0.97542698643292,0.9520326746035828,0.9870408778665255,0.9640832233327048
81,p_2fe586c7,0.9730920661081354,0.9734270113130176,0.9482297138541117,0.9568612854841397,0.9905764329158884
82,p_302e79c4,0.9646990740740741,0.9467046432487453,0.8988026361083807,0.9734805719847271,0.92136224752986
83,p_3060c342,0.7960519547325103,0.786943535133247,0.6487278687556297,0.9851399324198379,0.6551387644894882
84,p_3076376f,0.9883243555799021,0.9873994360701611,0.9751124690649255,0.9947834373722951,0.980124245877081
85,p_30b23c7a,0.985684799382716,0.9812296228471988,0.9631509168822527,0.9786214968988389,0.9838516877868985
86,p_314314d6,0.9340132209891766,0.8899228556273682,0.8016765862973556,0.8071815034653362,0.9915646824394726
87,p_32802067,0.979605903148504,0.9741914078451154,0.949681466206733,0.9742206595043208,0.9741621579424605
88,p_33025725,0.9098228166438043,0.8013357274350458,0.6685239109699269,0.7549085663854541,0.8538476813017555
89,p_34278778,0.977533150434385,0.9813168333867255,0.9633189843012943,0.9650543615439987,0.9981367888953778
90,p_347de0d7,0.9935113685113686,0.9926810561538405,0.985468467776027,0.98884270365199,0.9965493231426906
91,p_352307a6,0.9597518004115226,0.9319155323606256,0.8725110799713224,0.9879476393424476,0.8818980957282553
92,p_356159e9,0.987343534311317,0.9838508167137107,0.9682149362477231,0.9875078656398886,0.9802207542287432
93,p_36b3915a,0.8923049943883278,0.8605485532279502,0.7552305591131565,0.9266164065365337,0.80327495891464
94,p_3720395a,0.9950125743026977,0.986258657234913,0.9728898444102003,0.9959924428923113,0.9767132858408294
95,p_37c45e5c,0.9443438500228624,0.9605993929030675,0.9241859070931676,0.9355200481698301,0.9870604279097615
96,p_381e20ac,0.9425199597373779,0.9015298849279636,0.8207140754747273,0.9773340414232607,0.836638389569297
97,p_388b8cd0,0.9239513403662603,0.9219369760283423,0.8551791087610666,0.8741456270439112,0.9752562519525729
98,p_39a6478c,0.9173860911270983,0.9278460576265762,0.8654037642883693,0.9893177835331338,0.8735665867853475
99,p_3a166397,0.9509813932380304,0.9508454725361268,0.9062968777674827,0.9409131904875678,0.9609896820813679
100,p_3a6ec376,0.9967101051668953,0.9895608899722155,0.9793374782820958,0.9888184529958209,0.9903044426778759
101,p_3acb0293,0.9697509400916912,0.9782945779413993,0.9575113891147468,0.9584727563754355,0.9989535682473542
102,p_3adc1bb2,0.9815932765151515,0.9701378205196596,0.9420074257015465,0.9554870449879056,0.9852448820825758
103,p_3e43e90e,0.9901034522176497,0.979073328555389,0.9590045553124793,0.9879316190118465,0.9703724821281408
104,p_3ec20860,0.9617714763374485,0.9674176398408725,0.9368915034455819,0.9397054048155187,0.9968140277646017
105,p_40979624,0.9796279228537293,0.9721865569912268,0.9458784214237295,0.9932554363611258,0.9519929355068363
106,p_40aebe90,0.9929429583904893,0.9479470997171177,0.9010450895218555,0.9518435423104602,0.9440824278252692
107,p_41530024,0.9457914427688219,0.9595883835514948,0.9223160991099809,0.9255252080111424,0.9962546983970109
108,p_4173e997,0.9180951003086419,0.8340495551217186,0.7153387682859786,0.96646316609451,0.7335473735953608
109,p_41b1ff95,0.9701384066358024,0.9587041639962413,0.920683758494143,0.9753001152019019,0.9426635645169329
110,p_42a40c79,0.9617780964738556,0.9727071387643805,0.9468644974271664,0.9590309157243811,0.9867790631809895
111,p_435eb50e,0.9944958847736626,0.9915731304934214,0.9832870984274709,0.9888911069948881,0.9942697416694909
112,p_4370c039,0.9871668611168303,0.9538615909413355,0.9117929163882228,0.9695894258985227,0.9386358577990005
113,p_43878c82,0.9038942109974115,0.8966923263453453,0.8127309795418121,0.8146481714887138,0.9971126931618396
114,p_4492b501,0.9950091449474165,0.9913244086946672,0.9827980544386812,0.9952976805614853,0.9873827336420853
115,p_44a1a285,0.8937329856106879,0.9246679364585133,0.8598906029205733,0.9153869432490727,0.9341390549727262
116,p_450f88b6,0.9875203028847254,0.9631737320243899,0.9289634741845172,0.9408070211299878,0.9866298327259652
117,p_4559ef06,0.9494249016976289,0.96436175397627,0.9311762651474857,0.9523838003331168,0.9766448341219486
118,p_46c73697,0.9894283693415638,0.9846933597986797,0.9698482417128972,0.9764345075766668,0.9930931133946277
119,p_484f2406,0.9927999318336742,0.9912417746962952,0.9826356304533368,0.9907043942110337,0.9917797384726215
120,p_485e5509,0.9654824229064775,0.9117510225586641,0.8378147294035144,0.8586893421278149,0.9718023883342667
121,p_48f2de97,0.9726766117969822,0.9712232489421474,0.9440563736918383,0.9457902569524894,0.9980618626532184
