epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.8229788541793823,0.7039531469345093,0.17701977491378784,1e-04,0.7892142534255981,0.8693894743919373,0.8116483688354492,0.6879245042800903,0.188524067401886,0.8185360431671143,0.8117876052856445
1,0.8314207792282104,0.7161481976509094,0.16857965290546417,1e-04,0.8006026744842529,0.873863935470581,0.8165510296821594,0.6942021250724792,0.18362244963645935,0.8304645419120789,0.809110701084137
2,0.8389082551002502,0.7270179986953735,0.16109304130077362,1e-04,0.8091921210289001,0.8797479271888733,0.8041389584541321,0.6767958402633667,0.19602644443511963,0.8460727334022522,0.7725904583930969
3,0.8457863926887512,0.7371287941932678,0.15421617031097412,1e-04,0.8170188069343567,0.8851690888404846,0.8222669959068298,0.7025320529937744,0.1778411865234375,0.7996566891670227,0.8545997142791748
4,0.8529120683670044,0.7475131750106812,0.14709129929542542,1e-04,0.8262403011322021,0.8890992403030396,0.8327169418334961,0.7176823616027832,0.1673806607723236,0.7918373942375183,0.8858984112739563
5,0.857512354850769,0.7544155120849609,0.14248736202716827,1e-04,0.8317611217498779,0.8920921683311462,0.8432644009590149,0.7333095073699951,0.1568489670753479,0.8143163919448853,0.8813000917434692
6,0.8642026782035828,0.7645512223243713,0.13579976558685303,1e-04,0.8394529223442078,0.8976672291755676,0.8348842859268188,0.7211447358131409,0.1652517169713974,0.8465594053268433,0.8280463814735413
7,0.8678187727928162,0.7700219750404358,0.13217942416667938,1e-04,0.8445833325386047,0.8991302251815796,0.8418118357658386,0.7314655184745789,0.15835082530975342,0.8071330189704895,0.8859901428222656
8,0.8733742237091064,0.7784305214881897,0.12662576138973236,1e-04,0.850277304649353,0.9039411544799805,0.8327800035476685,0.7177861332893372,0.1673693209886551,0.851870596408844,0.8184971809387207
9,0.8789820671081543,0.7871636748313904,0.1210181936621666,1e-04,0.8575735688209534,0.9072296023368835,0.8454689979553223,0.7364856004714966,0.15466466546058655,0.8414597511291504,0.8547281622886658
10,0.8821511268615723,0.7920407056808472,0.11784932017326355,1e-04,0.861096978187561,0.9096570611000061,0.8460139632225037,0.737532913684845,0.15414230525493622,0.8354129195213318,0.8616696000099182
11,0.8858181238174438,0.7978237867355347,0.11418402194976807,1e-04,0.8648393154144287,0.9127192497253418,0.8409176468849182,0.7305478453636169,0.1592458039522171,0.7980965375900269,0.8979557752609253
12,0.8906269073486328,0.8054395914077759,0.10937630385160446,1e-04,0.8707460165023804,0.916057288646698,0.8413610458374023,0.7312867641448975,0.1588054895401001,0.8181529641151428,0.8746020197868347
13,0.8957100510597229,0.8134865164756775,0.10429155081510544,1e-04,0.8765236735343933,0.9198156595230103,0.8485046625137329,0.7413425445556641,0.1515996903181076,0.8043578267097473,0.9062014818191528
